"Occupied Housing Units by Floor Area, Number of Occupants in Each Housing Unit and Province/Highly Urbanized City: Philippines, 2020"

"Number of Occupants";"Geographic Location";"Total";"Less than 5 sq.m/ Less than 54 sq.ft.";"5 - 9 sq.m./ 54 - 107 sq.ft.";"10 - 19 sq.m./ 108 - 209 sq.ft.";"20 - 29 sq.m./ 210 - 317 sq.ft.";"30 - 49 sq.m./ 318 - 532 sq.ft.";"50 - 69 sq.m./ 533 - 748 sq.ft.";"70 - 89 sq.m./ 749 - 963 sq.ft.";"90 - 119 sq.m./ 964 - 1,286 sq.ft.";"120 - 149 sq.m./ 1,287 - 1,609 sq.ft.";"150 - 199 sq.m./ 1,610 - 2,147 sq.ft.";"200 sq.m. and over/ 2,148 sq.ft. and over";"Not Reported";"Not applicable"
"Three Occupants";"....Zamboanga del Norte";41082;1860;7336;12803;7375;4456;2506;1605;1313;785;471;547;25;0
"Three Occupants";"....Zamboanga del Sur *";39561;243;2153;11588;14653;5407;2358;1260;867;534;321;164;13;0
"Three Occupants";"....Zamboanga Sibugay";27219;383;3321;9193;6384;3854;1765;1036;504;384;185;159;51;0
"Three Occupants";"....City of Isabela **";3816;19;83;595;922;740;473;317;264;150;107;135;10;1
"Three Occupants";"....City of Zamboanga";39739;745;1923;3415;4061;7087;7459;5305;4198;2420;1378;1661;86;1
"Three Occupants";"..REGION X (NORTHERN MINDANAO)";216724;6768;24083;49653;43692;32202;22689;14238;10097;6183;3572;3478;63;6
"Three Occupants";"....Bukidnon";68665;3850;12456;18361;11866;7472;4627;3523;2521;1733;1125;1106;23;2
"Three Occupants";"....Camiguin";3803;45;235;525;565;645;478;392;386;231;132;169;0;0
"Three Occupants";"....Lanao del Norte *";24383;322;2086;5650;5655;4037;2636;1569;1002;769;335;314;8;0
"Three Occupants";"....Misamis Occidental";27152;1420;4122;6952;4891;3460;2080;1412;1115;735;449;501;13;2
"Three Occupants";"....Misamis Oriental *";42152;611;2768;11380;11209;6981;4029;2187;1513;752;397;312;12;1
"Three Occupants";"....City of Cagayan de Oro";34792;350;1597;4773;7042;6750;6097;3507;2245;1192;674;560;4;1
"Three Occupants";"....City of Iligan";15777;170;819;2012;2464;2857;2742;1648;1315;771;460;516;3;0
"Three Occupants";"..REGION XI (DAVAO REGION)";250193;7996;30459;59016;44375;35474;26296;16383;13842;7921;4429;3855;137;10
"Three Occupants";"....Davao de Oro (Compostela Valley)";34210;1420;5727;10456;7498;4164;1925;1073;824;519;306;279;18;1
"Three Occupants";"....Davao del Norte";52551;1330;4546;13011;10714;8516;5516;3461;2720;1335;733;635;33;1
"Three Occupants";"....Davao del Sur *";38273;2049;7047;11525;6751;3924;2372;1466;1283;813;480;539;20;4
"Three Occupants";"....Davao Occidental";15856;354;3772;6684;2934;1201;430;198;130;87;26;34;6;0
"Three Occupants";"....Davao Oriental";26438;551;2636;6743;5838;3748;2282;1557;1396;923;394;334;36;0
"Three Occupants";"....City of Davao";82865;2292;6731;10597;10640;13921;13771;8628;7489;4244;2490;2034;24;4
"Three Occupants";"..REGION XII (SOCCSKSARGEN)";209476;5304;28514;63567;47541;29017;15459;8539;5500;2975;1683;1295;63;19
"Three Occupants";"....Cotabato (North Cotabato)";57433;3239;11289;18299;10906;5887;2938;1928;1218;762;497;443;11;16
"Three Occupants";"....Sarangani";27679;839;5868;10241;5346;2676;1145;705;375;262;130;80;12;0
"Three Occupants";"....South Cotabato *";49533;441;4451;15805;13448;7664;3553;1754;1145;632;391;242;7;0
"Three Occupants";"....Sultan Kudarat";39697;395;4069;11501;11019;6318;3069;1472;858;469;286;223;18;0
"Three Occupants";"....City of General Santos (Dadiangas)";35134;390;2837;7721;6822;6472;4754;2680;1904;850;379;307;15;3
"Three Occupants";"..REGION XIII (CARAGA)";117639;2920;10890;28482;25990;18564;11642;7182;5060;3071;1972;1793;71;2
"Three Occupants";"....Agusan del Norte *";16004;848;2746;4205;2707;1700;1095;832;722;466;298;364;21;0
"Three Occupants";"....Agusan del Sur";31864;167;1964;10305;9196;5256;2561;1095;625;330;227;122;15;1
"Three Occupants";"....Dinagat Islands";4716;329;845;1266;832;565;264;203;103;107;108;88;6;0
"Three Occupants";"....Surigao del Norte";22217;933;2883;4880;4112;3319;2123;1487;1014;640;424;395;7;0
"Three Occupants";"....Surigao del Sur";26602;114;985;5386;6919;5358;3417;1802;1176;675;428;341;1;0
"Three Occupants";"....City of Butuan";16236;529;1467;2440;2224;2366;2182;1763;1420;853;487;483;21;1
"Three Occupants";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (";53942;1332;3938;9856;11422;8316;6592;5141;2937;1718;861;1141;686;2
"Three Occupants";"....Basilan";5567;39;319;1050;1586;1250;627;374;184;71;36;17;13;1
"Three Occupants";"....Lanao del Sur";5286;120;298;651;857;914;783;624;433;284;172;126;24;0
"Three Occupants";"....Maguindanao";19522;376;1494;3859;4195;2582;2086;1889;1272;726;374;638;30;1
"Three Occupants";"....Sulu";10079;113;705;2332;2497;1464;904;657;382;236;109;66;614;0
"Three Occupants";"....Tawi-Tawi";4781;17;177;812;1326;1003;567;357;218;183;77;40;4;0
"Three Occupants";"....Eight (8) Area Clusters ***";8707;667;945;1152;961;1103;1625;1240;448;218;93;254;1;0
"Four Occupants";"PHILIPPINES";5115631;111733;378981;877654;971840;1021000;651137;401065;292700;177551;104986;106651;20088;245
"Four Occupants";"..NATIONAL CAPITAL REGION (NCR)";632518;10727;34874;95224;137960;140154;73406;39201;28673;21814;15381;19056;15984;64
"Four Occupants";"....City of Manila";81946;2343;7103;14641;17643;16386;8855;4861;3563;2334;1787;1293;1102;35
"Four Occupants";"....City of Mandaluyong";18121;250;1220;3398;4366;3540;2002;840;582;345;250;353;974;1
"Four Occupants";"....City of Marikina";19977;153;460;1958;5051;4045;2468;1533;1245;970;771;1314;8;1
"Four Occupants";"....City of Pasig";37760;348;1438;5207;8919;10111;4508;2296;1370;1096;761;1172;533;1
"Four Occupants";"....Quezon City";132335;2665;8186;19315;27436;30286;15234;7612;5588;4509;3810;5872;1814;8
"Four Occupants";"....City of San Juan";5334;95;263;626;1022;952;575;342;278;212;168;251;546;4
"Four Occupants";"....City of Caloocan";86676;1489;3588;9995;16353;21553;12882;8094;5497;4040;1610;1520;55;0
"Four Occupants";"....City of Malabon";20157;241;982;4506;6078;3962;2044;1019;436;386;239;224;33;7
"Four Occupants";"....City of Navotas";12426;669;1440;2972;2253;2131;1332;833;336;230;121;91;18;0
"Four Occupants";"....City of Valenzuela";39057;676;1741;6468;11800;8201;3872;1829;1509;1344;690;914;13;0
"Four Occupants";"....City of Las Piñas";28473;256;1046;3431;5672;6095;3484;2110;1738;1537;1449;1652;3;0
"Four Occupants";"....City of Makati";27364;263;981;3197;4730;4508;2715;1286;1086;738;503;781;6576;0
"Four Occupants";"....City of Muntinlupa";25037;118;1028;3635;5431;7138;2782;1329;920;859;971;687;139;0
"Four Occupants";"....City of Parañaque";30131;526;1803;4619;5976;5315;2960;1846;1779;1587;1321;2146;251;2
"Four Occupants";"....Pasay City";21473;183;1368;4200;4253;3736;1849;772;708;424;294;215;3469;2
"Four Occupants";"....City of Taguig";43445;442;2167;6718;10264;11368;5491;2414;1924;1090;579;537;448;3
"Four Occupants";"....Pateros";2806;10;60;338;713;827;353;185;114;113;57;34;2;0
"Four Occupants";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";81559;155;1520;7893;16598;18103;12873;8344;6894;3962;2665;2529;10;13
"Four Occupants";"....Abra";11369;13;63;439;2293;3301;1933;1314;919;570;270;249;5;0
"Four Occupants";"....Apayao";6185;29;331;1151;1716;1386;702;344;238;147;72;65;0;4
"Four Occupants";"....Benguet *";20868;36;361;2438;3936;4425;3261;1959;1967;1038;755;685;1;6
"Four Occupants";"....Ifugao";8695;24;287;1572;2298;1759;1196;644;444;214;126;128;3;0
"Four Occupants";"....Kalinga";8577;9;64;296;2266;2207;1452;1007;624;334;175;143;0;0
"Four Occupants";"....Mountain Province";6299;8;211;889;1616;1339;882;578;374;226;124;52;0;0
"Four Occupants";"....City of Baguio";19566;36;203;1108;2473;3686;3447;2498;2328;1433;1143;1207;1;3
"Four Occupants";"..REGION I (ILOCOS REGION)";262020;4814;14676;30024;47850;57183;41391;26713;18117;10496;5590;4986;176;4
"Four Occupants";"....Ilocos Norte";30097;231;1003;2670;6410;7640;4642;3011;2143;1159;686;501;1;0
"Four Occupants";"....Ilocos Sur";35408;1309;3425;4396;4531;6308;5001;3663;2666;1838;1091;1176;3;1
"Four Occupants";"....La Union";41774;211;1193;4495;8411;9775;6864;4372;2962;1787;943;754;6;1
"Four Occupants";"....Pangasinan";154741;3063;9055;18463;28498;33460;24884;15667;10346;5712;2870;2555;166;2
"Four Occupants";"..REGION II (CAGAYAN VALLEY)";198583;2786;10323;24808;40829;47622;28467;18572;12118;6773;3329;2931;22;3
"Four Occupants";"....Batanes";850;31;69;69;135;196;137;74;54;26;33;26;0;0
"Four Occupants";"....Cagayan";65773;1054;4131;9925;14251;15394;8025;5440;3560;2054;1007;928;4;0
"Four Occupants";"....Isabela";95034;1161;4449;11024;18748;23453;14515;9393;5975;3390;1635;1279;12;0
"Four Occupants";"....Nueva Vizcaya";26138;534;1651;3543;4242;5373;3982;2585;1946;1034;574;669;4;1
"Four Occupants";"....Quirino";10788;6;23;247;3453;3206;1808;1080;583;269;80;29;2;2
"Four Occupants";"..REGION III (CENTRAL LUZON)";626134;9787;24766;67075;103473;142793;100018;64814;50234;28334;15726;17960;1107;47
"Four Occupants";"....Aurora";12034;65;529;1886;2660;2559;1763;1070;740;401;240;116;5;0
"Four Occupants";"....Bataan";41302;390;1325;4438;6743;8363;7187;4716;3454;2213;1241;1217;12;3
"Four Occupants";"....Bulacan";195544;2809;6689;18175;29894;57109;32696;17962;12805;7633;4308;4742;692;30
"Four Occupants";"....Nueva Ecija";124777;2209;7302;19353;26732;24648;16262;10871;7840;4545;2533;2423;59;0
"Four Occupants";"....Pampanga *";107750;2380;4116;8439;12583;19010;17421;14267;13900;6942;3766;4811;113;2
"Four Occupants";"....Tarlac";74840;858;3280;7592;12171;15327;12855;8680;6312;3734;1906;1962;155;8
"Four Occupants";"....Zambales *";33789;155;1086;4768;8004;8074;5397;2751;1910;884;427;320;13;0
"Four Occupants";"....City of Angeles";23529;886;237;1173;2082;4582;4145;3266;2523;1482;984;2108;57;4
"Four Occupants";"....City of Olongapo";12569;35;202;1251;2604;3121;2292;1231;750;500;321;261;1;0
"Four Occupants";"..REGION IV-A (CALABARZON)";800955;10222;30415;77865;115552;217108;137319;83058;57549;34124;19644;17693;352;54
"Four Occupants";"....Batangas";146687;3022;8002;17988;22911;28463;23521;15463;11945;7431;4037;3874;26;4
"Four Occupants";"....Cavite";221048;1471;4561;13405;27848;71058;41667;25635;16800;9610;4622;4084;244;43
"Four Occupants";"....Laguna";162592;1841;4692;11525;19346;47069;29096;18886;13096;7597;5470;3950;19;5
"Four Occupants";"....Quezon *";97442;1644;7693;20458;19656;17847;13093;7265;5096;2427;1273;964;25;1
"Four Occupants";"....Rizal";159598;2179;5188;13478;23876;48803;27208;14281;9573;6499;3888;4587;37;1
"Four Occupants";"....City of Lucena";13588;65;279;1011;1915;3868;2734;1528;1039;560;354;234;1;0
"Four Occupants";"..MIMAROPA REGION";160210;9417;24670;39581;30368;23003;12665;7718;5580;3624;1897;1643;44;0
"Four Occupants";"....Marinduque";11249;822;1812;2818;1783;1441;901;535;445;348;186;155;3;0
"Four Occupants";"....Occidental Mindoro";26525;785;3569;6705;5881;4065;2207;1323;920;487;330;251;2;0
"Four Occupants";"....Oriental Mindoro";45031;1104;5153;11838;9536;7354;4037;2348;1626;1115;471;441;8;0
"Four Occupants";"....Palawan *";46218;5279;10443;11848;7721;5234;2292;1337;781;626;357;279;21;0
"Four Occupants";"....Romblon";14594;281;1566;3476;3087;2343;1476;888;647;414;198;216;2;0
"Four Occupants";"....City of Puerto Princesa";16593;1146;2127;2896;2360;2566;1752;1287;1161;634;355;301;8;0
"Four Occupants";"..REGION V (BICOL REGION)";255416;9031;28604;54457;53896;45613;23912;14782;10978;6742;3850;3398;144;9
"Four Occupants";"....Albay";61946;3559;8083;11023;11248;10840;6259;3920;3141;1717;1120;1011;25;0
"Four Occupants";"....Camarines Norte";28900;189;1690;6597;6375;5605;3142;2172;1495;901;401;315;17;1
"Four Occupants";"....Camarines Sur";79032;2723;8885;16256;17068;14366;7670;4459;3207;2076;1187;1066;64;5
"Four Occupants";"....Catanduanes";11127;51;377;1606;2453;2669;1351;924;793;439;257;199;6;2
"Four Occupants";"....Masbate";38644;1712;6774;12230;8016;4331;2051;1296;830;692;350;347;14;1
"Four Occupants";"....Sorsogon";35767;797;2795;6745;8736;7802;3439;2011;1512;917;535;460;18;0
"Four Occupants";"..REGION VI (WESTERN VISAYAS)";395466;8674;36525;86689;75112;59960;44907;29671;22154;13765;8654;9048;303;4
"Four Occupants";"....Aklan";30166;126;1088;5461;7754;5967;3778;2118;1693;1010;610;551;10;0
"Four Occupants";"....Antique";28217;569;3226;7470;5841;3898;2676;1636;1305;718;418;435;25;0
"Four Occupants";"....Capiz";42513;904;3615;9786;8946;6800;4301;2765;2151;1401;953;863;28;0
"Four Occupants";"....Guimaras";10175;191;1396;2709;2107;1647;823;513;347;224;137;77;3;1
"Four Occupants";"....Iloilo *";101649;2244;8729;21041;19052;15969;11111;7751;6426;3902;2516;2761;146;1
"Four Occupants";"....Negros Occidental *";134519;4211;16864;35917;25528;17478;12283;8660;5787;3651;2057;2033;50;0
"Four Occupants";"....City of Bacolod";28906;338;1041;2595;3685;4842;6063;3870;2606;1614;1037;1208;7;0
"Four Occupants";"....City of Iloilo";19321;91;566;1710;2199;3359;3872;2358;1839;1245;926;1120;34;2
"Four Occupants";"..REGION VII (CENTRAL VISAYAS)";381389;15571;47616;89683;67716;57786;38953;22018;16994;10664;6544;7637;201;6
"Four Occupants";"....Bohol";59162;2310;6813;13338;11164;8904;5524;3518;2902;1930;1233;1424;102;0
"Four Occupants";"....Cebu *";158580;7736;21526;37691;25975;22345;16316;9432;7339;4513;2663;3004;38;2
"Four Occupants";"....Negros Oriental";73118;3652;12548;23291;12407;7773;4636;2866;2263;1610;996;1031;45;0
"Four Occupants";"....Siquijor";5066;18;83;477;1323;1573;660;350;222;178;123;59;0;0
"Four Occupants";"....City of Cebu";42413;880;3164;7370;8604;8091;5867;2733;2252;1307;883;1247;11;4
"Four Occupants";"....City of Lapu-Lapu (Opon)";24472;548;1813;3897;4299;5387;3872;2022;1172;673;332;456;1;0
"Four Occupants";"....City of Mandaue";18578;427;1669;3619;3944;3713;2078;1097;844;453;314;416;4;0
"Four Occupants";"..REGION VIII (EASTERN VISAYAS)";194754;4294;15694;40986;42079;35704;20622;12981;9138;5988;3738;3458;65;7
"Four Occupants";"....Biliran";8148;52;267;942;2109;2013;1049;660;478;296;162;120;0;0
"Four Occupants";"....Eastern Samar";21059;101;664;2882;5188;5124;2945;1816;1071;673;335;249;11;0
"Four Occupants";"....Leyte *";82239;1856;8300;19774;17270;12519;7722;5041;3635;2625;1664;1816;13;4
"Four Occupants";"....Northern Samar";23578;1756;3921;5143;4406;4027;1719;987;671;405;314;222;7;0
"Four Occupants";"....Samar (Western Samar)";31836;45;609;7212;8307;6703;3731;2282;1450;841;404;219;33;0
"Four Occupants";"....Southern Leyte";18268;388;1555;3748;3524;3243;1984;1252;990;674;443;463;1;3
"Four Occupants";"....City of Tacloban";9626;96;378;1285;1275;2075;1472;943;843;474;416;369;0;0
"Four Occupants";"..REGION IX (ZAMBOANGA PENINSULA)";174456;3287;14626;39505;39747;28016;17736;11334;8798;5119;3024;3090;169;5
"Four Occupants";"....Zamboanga del Norte";48830;1958;7861;15081;9073;5678;3218;2044;1624;941;640;685;27;0
"Four Occupants";"....Zamboanga del Sur *";45832;219;1668;9964;17554;8844;3376;1732;1189;662;391;219;12;2
"Four Occupants";"....Zamboanga Sibugay";31181;357;3098;10238;7929;4751;2115;1205;627;394;196;224;46;1
"Four Occupants";"....City of Isabela **";4533;28;65;669;1069;907;613;404;294;185;131;157;11;0
"Four Occupants";"....City of Zamboanga";44080;725;1934;3553;4122;7836;8414;5949;5064;2937;1666;1805;73;2
"Four Occupants";"..REGION X (NORTHERN MINDANAO)";240188;6345;24161;52940;48953;37188;26460;16259;12257;7306;4239;4002;77;1
"Four Occupants";"....Bukidnon";78787;3647;13138;20856;14018;8973;5771;4074;3190;2251;1423;1412;33;1
"Four Occupants";"....Camiguin";4227;55;209;588;661;722;559;438;420;227;144;204;0;0
"Four Occupants";"....Lanao del Norte *";25892;275;1909;5313;6024;4638;3083;1771;1256;876;439;298;10;0
"Four Occupants";"....Misamis Occidental";30305;1380;4164;7808;5783;3919;2452;1570;1308;832;526;547;16;0
"Four Occupants";"....Misamis Oriental *";46684;546;2591;11657;12563;8229;4774;2665;1811;943;488;402;15;0
"Four Occupants";"....City of Cagayan de Oro";37314;307;1343;4645;7291;7684;6798;3905;2728;1270;721;621;1;0
"Four Occupants";"....City of Iligan";16979;135;807;2073;2613;3023;3023;1836;1544;907;498;518;2;0
"Four Occupants";"..REGION XI (DAVAO REGION)";273473;7634;29492;62904;49768;40193;30149;19189;15871;8778;5184;4172;130;9
"Four Occupants";"....Davao de Oro (Compostela Valley)";40175;1329;6139;12294;9272;5047;2393;1372;1033;622;334;313;26;1
"Four Occupants";"....Davao del Norte";58570;1284;4263;13682;12064;10051;6760;4019;3249;1611;895;659;33;0
"Four Occupants";"....Davao del Sur *";38980;1843;6549;11801;6988;4211;2585;1686;1278;857;552;612;13;5
"Four Occupants";"....Davao Occidental";16094;329;3131;6759;3482;1423;464;230;124;85;25;30;12;0
"Four Occupants";"....Davao Oriental";28105;529;2586;7041;6293;3876;2578;1723;1607;1007;481;364;20;0
"Four Occupants";"....City of Davao";91549;2320;6824;11327;11669;15585;15369;10159;8580;4596;2897;2194;26;3
"Four Occupants";"..REGION XII (SOCCSKSARGEN)";223742;4819;25573;63738;53145;34287;18166;10205;6580;3670;1932;1565;46;16
"Four Occupants";"....Cotabato (North Cotabato)";64319;3095;11497;20175;13021;7173;3525;2223;1544;981;532;530;8;15
"Four Occupants";"....Sarangani";28277;703;4953;10685;5788;3012;1365;795;424;293;138;112;9;0
"Four Occupants";"....South Cotabato *";53075;428;3696;15130;15083;9265;4220;2135;1501;802;506;304;4;1
"Four Occupants";"....Sultan Kudarat";41772;310;3270;10634;12030;7684;3746;1906;1039;568;315;260;10;0
"Four Occupants";"....City of General Santos (Dadiangas)";36299;283;2157;7114;7223;7153;5310;3146;2072;1026;441;359;15;0
"Four Occupants";"..REGION XIII (CARAGA)";131467;2657;10519;29511;30664;22302;13480;8322;6077;3655;2240;1986;51;3
"Four Occupants";"....Agusan del Norte *";18016;770;2782;4861;3179;2076;1219;897;894;527;366;431;14;0
"Four Occupants";"....Agusan del Sur";35380;119;1585;10057;11174;6490;3000;1345;780;442;240;142;5;1
"Four Occupants";"....Dinagat Islands";5373;321;802;1533;1053;635;316;219;146;118;121;105;4;0
"Four Occupants";"....Surigao del Norte";24930;807;3026;5351;4824;3953;2447;1593;1198;833;486;408;4;0
"Four Occupants";"....Surigao del Sur";29946;129;866;5072;7931;6534;4113;2228;1428;763;483;396;2;1
"Four Occupants";"....City of Butuan";17822;511;1458;2637;2503;2614;2385;2040;1631;972;544;504;22;1
"Four Occupants";"..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (";83301;1513;4927;14771;18130;13985;10613;7884;4688;2737;1349;1497;1207;0
"Four Occupants";"....Basilan";8529;66;380;1406;2270;2020;1127;692;327;132;55;31;23;0
"Four Occupants";"....Lanao del Sur";11178;205;590;1212;1649;1809;1728;1476;1067;709;383;314;36;0
"Four Occupants";"....Maguindanao";30503;471;1876;5842;7245;4887;3413;2673;1706;1070;528;749;43;0
"Four Occupants";"....Sulu";16999;203;1014;4031;3998;2620;1604;1087;702;343;187;106;1104;0
"Four Occupants";"....Tawi-Tawi";7058;24;235;1260;1947;1446;872;529;364;218;101;61;1;0
"Four Occupants";"....Eight (8) Area Clusters ***";9034;544;832;1020;1021;1203;1869;1427;522;265;95;236;0;0
"Five Occupants";"PHILIPPINES";4019633;78170;268241;650200;757991;816418;532387;330640;244257;148109;89043;91680;12337;160
"Five Occupants";"..NATIONAL CAPITAL REGION (NCR)";484018;8018;25699;70510;105071;108627;58073;30882;22536;17176;12472;16095;8819;40
"Five Occupants";"....City of Manila";63706;1762;5223;11236;13909;12947;7058;3857;2789;1842;1450;1044;566;23
"Five Occupants";"....City of Mandaluyong";14179;217;942;2682;3168;2681;1610;654;439;295;205;299;987;0
"Five Occupants";"....City of Marikina";17018;137;391;1620;4305;3299;2164;1373;1041;846;633;1206;3;0
"Five Occupants";"....City of Pasig";28772;293;969;3838;6881;7570;3499;1838;1051;785;643;965;440;0
"Five Occupants";"....Quezon City";106199;2048;6072;14859;21850;24819;12390;6024;4515;3727;3227;5249;1418;1
"Five Occupants";"....City of San Juan";4343;72;232;478;793;731;488;303;213;212;163;220;437;1
"Five Occupants";"....City of Caloocan";66087;1044;2681;7215;12385;16418;10310;6143;4292;3140;1203;1214;42;0
"Five Occupants";"....City of Malabon";15132;174;744;3156;4360;3134;1681;879;329;302;166;182;23;2
"Five Occupants";"....City of Navotas";9415;471;1100;2214;1733;1590;1037;649;252;172;94;82;16;5
"Five Occupants";"....City of Valenzuela";28135;441;1125;4441;8141;6120;2972;1376;1226;1025;550;707;11;0
"Five Occupants";"....City of Las Piñas";21841;204;804;2610;4454;4686;2589;1604;1349;1158;1088;1292;2;1
"Five Occupants";"....City of Makati";19725;181;705;2336;3508;3599;2205;1064;867;587;447;692;3534;0
"Five Occupants";"....City of Muntinlupa";18580;84;763;2568;3893;5186;2095;1012;788;642;768;639;139;3
"Five Occupants";"....City of Parañaque";23840;458;1435;3528;4716;4261;2318;1507;1360;1278;1126;1746;106;1
"Five Occupants";"....Pasay City";13635;115;899;2789;3208;2695;1347;632;484;306;222;138;798;2
"Five Occupants";"....City of Taguig";31141;313;1579;4678;7194;8226;4004;1814;1428;775;447;386;296;1
"Five Occupants";"....Pateros";2270;4;35;262;573;665;306;153;113;84;40;34;1;0
"Five Occupants";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";67113;125;932;5487;12792;14870;10994;7168;6268;3667;2507;2296;6;1
"Five Occupants";"....Abra";9292;8;38;298;1668;2620;1615;1171;822;540;251;257;4;0
"Five Occupants";"....Apayao";4749;33;186;781;1278;1071;552;333;229;149;84;52;1;0
"Five Occupants";"....Benguet *";17600;31;230;1639;3062;3714;2868;1817;1801;997;749;691;0;1
"Five Occupants";"....Ifugao";7616;21;193;1140;1856;1677;1138;599;432;266;139;154;1;0
"Five Occupants";"....Kalinga";7941;6;33;259;1919;2026;1363;916;706;371;210;132;0;0
"Five Occupants";"....Mountain Province";5642;10;116;738;1405;1256;871;514;378;208;97;49;0;0
"Five Occupants";"....City of Baguio";14273;16;136;632;1604;2506;2587;1818;1900;1136;977;961;0;0
"Five Occupants";"..REGION I (ILOCOS REGION)";203015;3275;10346;21243;34910;44936;33554;21785;15158;8581;4838;4271;111;7
"Five Occupants";"....Ilocos Norte";23339;164;675;1730;4434;6091;3807;2546;1782;1009;645;455;0;1
"Five Occupants";"....Ilocos Sur";26812;882;2441;3145;3447;4699;3612;2941;2211;1491;935;1007;1;0
"Five Occupants";"....La Union";31379;115;742;2967;5879;7421;5416;3503;2429;1378;824;702;2;1
"Five Occupants";"....Pangasinan";121485;2114;6488;13401;21150;26725;20719;12795;8736;4703;2434;2107;108;5
"Five Occupants";"..REGION II (CAGAYAN VALLEY)";144038;1800;6805;16416;28303;34526;21553;14310;9493;5522;2792;2497;21;0
"Five Occupants";"....Batanes";688;23;48;56;102;162;105;60;46;35;21;30;0;0
"Five Occupants";"....Cagayan";49229;736;2823;6715;10187;11636;6459;4259;2914;1795;884;815;6;0
"Five Occupants";"....Isabela";66517;726;2800;6968;12651;16297;10555;7025;4552;2550;1298;1088;7;0
"Five Occupants";"....Nueva Vizcaya";19532;311;1112;2512;3063;4014;3016;2035;1493;900;527;544;5;0
"Five Occupants";"....Quirino";8072;4;22;165;2300;2417;1418;931;488;242;62;20;3;0
"Five Occupants";"..REGION III (CENTRAL LUZON)";490233;6980;17733;48373;76716;110725;80193;53393;42563;23920;13373;15373;868;23
"Five Occupants";"....Aurora";9339;31;347;1371;1996;2049;1442;897;564;331;189;116;6;0
"Five Occupants";"....Bataan";33479;282;1066;3282;5314;6607;5876;3987;3022;1861;1033;1140;9;0
"Five Occupants";"....Bulacan";146595;1984;4769;12528;21300;43075;24741;13960;10191;6049;3559;3917;507;15
"Five Occupants";"....Nueva Ecija";93291;1406;5021;13860;19119;18169;12785;8583;6390;3772;2056;2091;37;2
"Five Occupants";"....Pampanga *";95342;1984;3274;7055;11265;16516;15405;12775;12714;6455;3401;4377;120;1
"Five Occupants";"....Tarlac";59809;641;2343;5640;9194;12186;10484;7333;5340;3100;1735;1670;139;4
"Five Occupants";"....Zambales *";24919;88;646;3008;5336;6178;4425;2272;1579;748;374;258;7;0
"Five Occupants";"....City of Angeles";17972;542;151;874;1458;3544;3137;2510;2126;1180;785;1621;43;1
"Five Occupants";"....City of Olongapo";9487;22;116;755;1734;2401;1898;1076;637;424;241;183;0;0
"Five Occupants";"..REGION IV-A (CALABARZON)";621994;7719;22445;57795;86361;168204;107520;65429;46795;27665;16725;15009;283;44
"Five Occupants";"....Batangas";113410;2395;6173;13687;17165;21527;18148;12133;9606;5975;3427;3144;17;13
"Five Occupants";"....Cavite";167568;1105;3311;9526;19675;53311;31953;19704;13650;7699;3912;3505;189;28
"Five Occupants";"....Laguna";124127;1370;3390;8411;14265;35978;22075;14715;10339;5945;4439;3189;9;2
"Five Occupants";"....Quezon *";75896;1141;5476;15227;15367;14408;10296;5858;4096;2025;1122;848;32;0
"Five Occupants";"....Rizal";129768;1670;3896;10133;18352;39835;22723;11715;8212;5542;3526;4127;36;1
"Five Occupants";"....City of Lucena";11225;38;199;811;1537;3145;2325;1304;892;479;299;196;0;0
"Five Occupants";"..MIMAROPA REGION";122848;6487;17425;29928;24176;18285;10016;6242;4462;2868;1585;1342;32;0
"Five Occupants";"....Marinduque";9002;590;1413;2273;1535;1181;689;446;353;243;148;128;3;0
"Five Occupants";"....Occidental Mindoro";20454;581;2536;5180;4615;3204;1716;971;756;422;280;188;5;0
"Five Occupants";"....Oriental Mindoro";34977;781;3632;8939;7490;5863;3352;2004;1324;841;406;339;6;0
"Five Occupants";"....Palawan *";35342;3683;7368;8888;6344;4244;1862;1150;654;562;300;272;15;0
"Five Occupants";"....Romblon";11777;194;1091;2766;2561;2064;1165;728;541;304;194;169;0;0
"Five Occupants";"....City of Puerto Princesa";11296;658;1385;1882;1631;1729;1232;943;834;496;257;246;3;0
"Five Occupants";"..REGION V (BICOL REGION)";219163;6407;21875;44512;47551;41160;21649;13245;9946;5984;3588;3141;100;5
"Five Occupants";"....Albay";50910;2417;6080;9076;9528;9169;5368;3233;2664;1513;970;876;16;0
"Five Occupants";"....Camarines Norte";23503;113;1126;4893;5345;4882;2704;1786;1220;793;380;248;12;1
"Five Occupants";"....Camarines Sur";71817;2120;7274;13890;15901;13759;7271;4349;3102;1886;1134;1075;54;2
"Five Occupants";"....Catanduanes";9852;30;232;1210;2067;2503;1337;870;764;439;233;161;4;2
"Five Occupants";"....Masbate";32806;1144;5087;10192;7332;3921;1806;1218;793;594;354;362;3;0
"Five Occupants";"....Sorsogon";30275;583;2076;5251;7378;6926;3163;1789;1403;759;517;419;11;0
