"Number of Establishments  Employing 20 or More Workers by Mode of Learning about ECP and Major Industry Group, Philippines: 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0021B3E9020.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Mode of Learning about ECP";"Major Industry Group";"2017"
"Newspaper";"..Mining and Quarrying";16
"Newspaper";"..Manufacturing";438
"Newspaper";"..Electricity, Gas, Steam and Air Conditioning Supply";26
"Newspaper";"..Water Supply; Sewerage, Waste Management and Remediation Activities";13
"Newspaper";"..Construction";58
"Newspaper";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";661
"Newspaper";"..Transportation and Storage";64
"Newspaper";"..Accommodation and Food Service Activities";454
"Newspaper";"..Information and Communication";59
"Newspaper";"..Financial and Insurance Activities";87
"Newspaper";"..Real Estate Activities";34
"Newspaper";"..Professional, Scientific and Technical Activities";54
"Newspaper";"..Administrative and Support Service Activities";142
"Newspaper";"..Education Except Public Education";240
"Newspaper";"..Human Health and Social Work Activities Except Public Health Activities";69
"Newspaper";"..Arts, Entertainment and  Recreation";8
"Newspaper";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";31
"Radio";"ALL INDUSTRIES";1177
"Radio";"..Agriculture, Forestry and Fishing";26
"Radio";"..Mining and Quarrying";5
"Radio";"..Manufacturing";161
"Radio";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Radio";"..Water Supply; Sewerage, Waste Management and Remediation Activities";8
"Radio";"..Construction";36
"Radio";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";376
"Radio";"..Transportation and Storage";36
"Radio";"..Accommodation and Food Service Activities";246
"Radio";"..Information and Communication";36
"Radio";"..Financial and Insurance Activities";25
"Radio";"..Real Estate Activities";4
"Radio";"..Professional, Scientific and Technical Activities";17
"Radio";"..Administrative and Support Service Activities";52
"Radio";"..Education Except Public Education";86
"Radio";"..Human Health and Social Work Activities Except Public Health Activities";45
