"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,
,,,,
PX-Web - Select variable and values,,,,
,,,,
"Parameter;""Geographic Location"";""Sex"";""Age Group"";Population by Age Group", Sex, Region, and Province/Highly Urbanized City: Philippines ,2020
"Total Population;""....Quezon City"";""Both Sexes"";""50-54"";146739",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""55-59"";119890",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""60-64"";94493",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""65-69"";61637",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""70-74"";37992",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""75-79"";19925",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""80 years old and over"";21668",,,,
"Total Population;""....Quezon City"";""Male"";""All Ages"";1471795",,,,
"Total Population;""....Quezon City"";""Male"";""Below 5"";150043",,,,
"Total Population;""....Quezon City"";""Male"";""5-9"";143243",,,,
"Total Population;""....Quezon City"";""Male"";""10-14"";134265",,,,
"Total Population;""....Quezon City"";""Male"";""15-19"";122666",,,,
"Total Population;""....Quezon City"";""Male"";""20-24"";138255",,,,
"Total Population;""....Quezon City"";""Male"";""25-29"";140263",,,,
"Total Population;""....Quezon City"";""Male"";""30-34"";129117",,,,
"Total Population;""....Quezon City"";""Male"";""35-39"";110813",,,,
"Total Population;""....Quezon City"";""Male"";""40-44"";97025",,,,
"Total Population;""....Quezon City"";""Male"";""45-49"";81606",,,,
"Total Population;""....Quezon City"";""Male"";""50-54"";70154",,,,
"Total Population;""....Quezon City"";""Male"";""55-59"";55865",,,,
"Total Population;""....Quezon City"";""Male"";""60-64"";42848",,,,
"Total Population;""....Quezon City"";""Male"";""65-69"";26784",,,,
"Total Population;""....Quezon City"";""Male"";""70-74"";15431",,,,
"Total Population;""....Quezon City"";""Male"";""75-79"";7170",,,,
"Total Population;""....Quezon City"";""Male"";""80 years old and over"";6247",,,,
"Total Population;""....Quezon City"";""Female"";""All Ages"";1488253",,,,
"Total Population;""....Quezon City"";""Female"";""Below 5"";141203",,,,
"Total Population;""....Quezon City"";""Female"";""5-9"";133359",,,,
"Total Population;""....Quezon City"";""Female"";""10-14"";124322",,,,
"Total Population;""....Quezon City"";""Female"";""15-19"";119334",,,,
"Total Population;""....Quezon City"";""Female"";""20-24"";137285",,,,
"Total Population;""....Quezon City"";""Female"";""25-29"";137589",,,,
"Total Population;""....Quezon City"";""Female"";""30-34"";124133",,,,
"Total Population;""....Quezon City"";""Female"";""35-39"";109539",,,,
"Total Population;""....Quezon City"";""Female"";""40-44"";98911",,,,
"Total Population;""....Quezon City"";""Female"";""45-49"";84733",,,,
"Total Population;""....Quezon City"";""Female"";""50-54"";76585",,,,
"Total Population;""....Quezon City"";""Female"";""55-59"";64025",,,,
"Total Population;""....Quezon City"";""Female"";""60-64"";51645",,,,
"Total Population;""....Quezon City"";""Female"";""65-69"";34853",,,,
"Total Population;""....Quezon City"";""Female"";""70-74"";22561",,,,
"Total Population;""....Quezon City"";""Female"";""75-79"";12755",,,,
"Total Population;""....Quezon City"";""Female"";""80 years old and over"";15421",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""All Ages"";126347",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""Below 5"";10696",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""5-9"";10059",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""10-14"";9611",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""15-19"";8966",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""20-24"";11756",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""25-29"";11645",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""30-34"";10954",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""35-39"";9772",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""40-44"";8977",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""45-49"";7741",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""50-54"";6915",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""55-59"";6040",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""60-64"";4829",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""65-69"";3376",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""70-74"";2286",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""75-79"";1237",,,,
"Total Population;""....City of San Juan"";""Both Sexes"";""80 years old and over"";1487",,,,
"Total Population;""....City of San Juan"";""Male"";""All Ages"";61222",,,,
"Total Population;""....City of San Juan"";""Male"";""Below 5"";5503",,,,
"Total Population;""....City of San Juan"";""Male"";""5-9"";5200",,,,
"Total Population;""....City of San Juan"";""Male"";""10-14"";5058",,,,
"Total Population;""....City of San Juan"";""Male"";""15-19"";4573",,,,
"Total Population;""....City of San Juan"";""Male"";""20-24"";5728",,,,
"Total Population;""....City of San Juan"";""Male"";""25-29"";5711",,,,
"Total Population;""....City of San Juan"";""Male"";""30-34"";5457",,,,
"Total Population;""....City of San Juan"";""Male"";""35-39"";4795",,,,
"Total Population;""....City of San Juan"";""Male"";""40-44"";4294",,,,
"Total Population;""....City of San Juan"";""Male"";""45-49"";3716",,,,
"Total Population;""....City of San Juan"";""Male"";""50-54"";3312",,,,
"Total Population;""....City of San Juan"";""Male"";""55-59"";2693",,,,
"Total Population;""....City of San Juan"";""Male"";""60-64"";2065",,,,
"Total Population;""....City of San Juan"";""Male"";""65-69"";1360",,,,
"Total Population;""....City of San Juan"";""Male"";""70-74"";960",,,,
"Total Population;""....City of San Juan"";""Male"";""75-79"";383",,,,
"Total Population;""....City of San Juan"";""Male"";""80 years old and over"";414",,,,
"Total Population;""....City of San Juan"";""Female"";""All Ages"";65125",,,,
"Total Population;""....City of San Juan"";""Female"";""Below 5"";5193",,,,
"Total Population;""....City of San Juan"";""Female"";""5-9"";4859",,,,
"Total Population;""....City of San Juan"";""Female"";""10-14"";4553",,,,
"Total Population;""....City of San Juan"";""Female"";""15-19"";4393",,,,
"Total Population;""....City of San Juan"";""Female"";""20-24"";6028",,,,
"Total Population;""....City of San Juan"";""Female"";""25-29"";5934",,,,
"Total Population;""....City of San Juan"";""Female"";""30-34"";5497",,,,
"Total Population;""....City of San Juan"";""Female"";""35-39"";4977",,,,
"Total Population;""....City of San Juan"";""Female"";""40-44"";4683",,,,
"Total Population;""....City of San Juan"";""Female"";""45-49"";4025",,,,
"Total Population;""....City of San Juan"";""Female"";""50-54"";3603",,,,
"Total Population;""....City of San Juan"";""Female"";""55-59"";3347",,,,
"Total Population;""....City of San Juan"";""Female"";""60-64"";2764",,,,
"Total Population;""....City of San Juan"";""Female"";""65-69"";2016",,,,
"Total Population;""....City of San Juan"";""Female"";""70-74"";1326",,,,
"Total Population;""....City of San Juan"";""Female"";""75-79"";854",,,,
"Total Population;""....City of San Juan"";""Female"";""80 years old and over"";1073",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""All Ages"";1661584",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""Below 5"";167269",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""5-9"";164484",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""10-14"";156994",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""15-19"";149975",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""20-24"";158387",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""25-29"";152889",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""30-34"";135349",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""35-39"";119025",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""40-44"";105898",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""45-49"";89491",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""50-54"";79421",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""55-59"";63983",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""60-64"";49830",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""65-69"";31335",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""70-74"";18958",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""75-79"";9481",,,,
"Total Population;""....City of Caloocan"";""Both Sexes"";""80 years old and over"";8815",,,,
"Total Population;""....City of Caloocan"";""Male"";""All Ages"";837899",,,,
"Total Population;""....City of Caloocan"";""Male"";""Below 5"";87003",,,,
"Total Population;""....City of Caloocan"";""Male"";""5-9"";85680",,,,
"Total Population;""....City of Caloocan"";""Male"";""10-14"";80821",,,,
"Total Population;""....City of Caloocan"";""Male"";""15-19"";76925",,,,
"Total Population;""....City of Caloocan"";""Male"";""20-24"";79984",,,,
"Total Population;""....City of Caloocan"";""Male"";""25-29"";77689",,,,
"Total Population;""....City of Caloocan"";""Male"";""30-34"";69481",,,,
"Total Population;""....City of Caloocan"";""Male"";""35-39"";60490",,,,
"Total Population;""....City of Caloocan"";""Male"";""40-44"";53479",,,,
"Total Population;""....City of Caloocan"";""Male"";""45-49"";45097",,,,
"Total Population;""....City of Caloocan"";""Male"";""50-54"";39275",,,,
"Total Population;""....City of Caloocan"";""Male"";""55-59"";30718",,,,
"Total Population;""....City of Caloocan"";""Male"";""60-64"";23558",,,,
"Total Population;""....City of Caloocan"";""Male"";""65-69"";14057",,,,
"Total Population;""....City of Caloocan"";""Male"";""70-74"";7669",,,,
"Total Population;""....City of Caloocan"";""Male"";""75-79"";3390",,,,
"Total Population;""....City of Caloocan"";""Male"";""80 years old and over"";2583",,,,
"Total Population;""....City of Caloocan"";""Female"";""All Ages"";823685",,,,
"Total Population;""....City of Caloocan"";""Female"";""Below 5"";80266",,,,
"Total Population;""....City of Caloocan"";""Female"";""5-9"";78804",,,,
"Total Population;""....City of Caloocan"";""Female"";""10-14"";76173",,,,
"Total Population;""....City of Caloocan"";""Female"";""15-19"";73050",,,,
"Total Population;""....City of Caloocan"";""Female"";""20-24"";78403",,,,
"Total Population;""....City of Caloocan"";""Female"";""25-29"";75200",,,,
"Total Population;""....City of Caloocan"";""Female"";""30-34"";65868",,,,
"Total Population;""....City of Caloocan"";""Female"";""35-39"";58535",,,,
"Total Population;""....City of Caloocan"";""Female"";""40-44"";52419",,,,
"Total Population;""....City of Caloocan"";""Female"";""45-49"";44394",,,,
"Total Population;""....City of Caloocan"";""Female"";""50-54"";40146",,,,
"Total Population;""....City of Caloocan"";""Female"";""55-59"";33265",,,,
"Total Population;""....City of Caloocan"";""Female"";""60-64"";26272",,,,
"Total Population;""....City of Caloocan"";""Female"";""65-69"";17278",,,,
"Total Population;""....City of Caloocan"";""Female"";""70-74"";11289",,,,
"Total Population;""....City of Caloocan"";""Female"";""75-79"";6091",,,,
"Total Population;""....City of Caloocan"";""Female"";""80 years old and over"";6232",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""All Ages"";380522",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""Below 5"";35986",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""5-9"";36534",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""10-14"";35823",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""15-19"";34493",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""20-24"";36974",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""25-29"";34532",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""30-34"";30467",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""35-39"";27037",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""40-44"";24764",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""45-49"";20969",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""50-54"";18217",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""55-59"";15027",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""60-64"";11968",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""65-69"";7821",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""70-74"";5075",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""75-79"";2414",,,,
"Total Population;""....City of Malabon"";""Both Sexes"";""80 years old and over"";2421",,,,
"Total Population;""....City of Malabon"";""Male"";""All Ages"";192566",,,,
"Total Population;""....City of Malabon"";""Male"";""Below 5"";18638",,,,
"Total Population;""....City of Malabon"";""Male"";""5-9"";19033",,,,
"Total Population;""....City of Malabon"";""Male"";""10-14"";18540",,,,
"Total Population;""....City of Malabon"";""Male"";""15-19"";17742",,,,
"Total Population;""....City of Malabon"";""Male"";""20-24"";18807",,,,
"Total Population;""....City of Malabon"";""Male"";""25-29"";17782",,,,
"Total Population;""....City of Malabon"";""Male"";""30-34"";15833",,,,
"Total Population;""....City of Malabon"";""Male"";""35-39"";13719",,,,
"Total Population;""....City of Malabon"";""Male"";""40-44"";12564",,,,
"Total Population;""....City of Malabon"";""Male"";""45-49"";10628",,,,
"Total Population;""....City of Malabon"";""Male"";""50-54"";9089",,,,
"Total Population;""....City of Malabon"";""Male"";""55-59"";7353",,,,
"Total Population;""....City of Malabon"";""Male"";""60-64"";5570",,,,
"Total Population;""....City of Malabon"";""Male"";""65-69"";3518",,,,
"Total Population;""....City of Malabon"";""Male"";""70-74"";2130",,,,
"Total Population;""....City of Malabon"";""Male"";""75-79"";911",,,,
"Total Population;""....City of Malabon"";""Male"";""80 years old and over"";709",,,,
"Total Population;""....City of Malabon"";""Female"";""All Ages"";187956",,,,
"Total Population;""....City of Malabon"";""Female"";""Below 5"";17348",,,,
"Total Population;""....City of Malabon"";""Female"";""5-9"";17501",,,,
"Total Population;""....City of Malabon"";""Female"";""10-14"";17283",,,,
"Total Population;""....City of Malabon"";""Female"";""15-19"";16751",,,,
"Total Population;""....City of Malabon"";""Female"";""20-24"";18167",,,,
"Total Population;""....City of Malabon"";""Female"";""25-29"";16750",,,,
"Total Population;""....City of Malabon"";""Female"";""30-34"";14634",,,,
"Total Population;""....City of Malabon"";""Female"";""35-39"";13318",,,,
"Total Population;""....City of Malabon"";""Female"";""40-44"";12200",,,,
"Total Population;""....City of Malabon"";""Female"";""45-49"";10341",,,,
"Total Population;""....City of Malabon"";""Female"";""50-54"";9128",,,,
"Total Population;""....City of Malabon"";""Female"";""55-59"";7674",,,,
"Total Population;""....City of Malabon"";""Female"";""60-64"";6398",,,,
"Total Population;""....City of Malabon"";""Female"";""65-69"";4303",,,,
"Total Population;""....City of Malabon"";""Female"";""70-74"";2945",,,,
"Total Population;""....City of Malabon"";""Female"";""75-79"";1503",,,,
"Total Population;""....City of Malabon"";""Female"";""80 years old and over"";1712",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""All Ages"";247543",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""Below 5"";25338",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""5-9"";25716",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""10-14"";24387",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""15-19"";23157",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""20-24"";23449",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""25-29"";21495",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""30-34"";19208",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""35-39"";16910",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""40-44"";15592",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""45-49"";13222",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""50-54"";11433",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""55-59"";9450",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""60-64"";7373",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""65-69"";4933",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""70-74"";3069",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""75-79"";1513",,,,
"Total Population;""....City of Navotas"";""Both Sexes"";""80 years old and over"";1298",,,,
"Total Population;""....City of Navotas"";""Male"";""All Ages"";126440",,,,
"Total Population;""....City of Navotas"";""Male"";""Below 5"";13151",,,,
"Total Population;""....City of Navotas"";""Male"";""5-9"";13545",,,,
"Total Population;""....City of Navotas"";""Male"";""10-14"";12531",,,,
"Total Population;""....City of Navotas"";""Male"";""15-19"";11896",,,,
"Total Population;""....City of Navotas"";""Male"";""20-24"";12043",,,,
"Total Population;""....City of Navotas"";""Male"";""25-29"";11072",,,,
"Total Population;""....City of Navotas"";""Male"";""30-34"";10028",,,,
"Total Population;""....City of Navotas"";""Male"";""35-39"";8650",,,,
"Total Population;""....City of Navotas"";""Male"";""40-44"";8103",,,,
"Total Population;""....City of Navotas"";""Male"";""45-49"";6853",,,,
"Total Population;""....City of Navotas"";""Male"";""50-54"";5725",,,,
"Total Population;""....City of Navotas"";""Male"";""55-59"";4756",,,,
"Total Population;""....City of Navotas"";""Male"";""60-64"";3634",,,,
"Total Population;""....City of Navotas"";""Male"";""65-69"";2284",,,,
"Total Population;""....City of Navotas"";""Male"";""70-74"";1213",,,,
"Total Population;""....City of Navotas"";""Male"";""75-79"";568",,,,
"Total Population;""....City of Navotas"";""Male"";""80 years old and over"";388",,,,
"Total Population;""....City of Navotas"";""Female"";""All Ages"";121103",,,,
"Total Population;""....City of Navotas"";""Female"";""Below 5"";12187",,,,
"Total Population;""....City of Navotas"";""Female"";""5-9"";12171",,,,
