"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,
,,,,
PX-Web - Select variable and values,,,,
,,,,
"Parameter;""Geographic Location"";""Sex"";""Age Group"";Population by Age Group", Sex, Region, and Province/Highly Urbanized City: Philippines ,2020
"Total Population;""....City of Pasig"";""Both Sexes"";""Below 5"";81168",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""5-9"";78038",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""10-14"";71014",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""15-19"";65702",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""20-24"";72236",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""25-29"";76678",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""30-34"";71801",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""35-39"";62525",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""40-44"";54119",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""45-49"";43985",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""50-54"";37004",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""55-59"";29271",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""60-64"";23402",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""65-69"";15962",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""70-74"";10223",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""75-79"";5029",,,,
"Total Population;""....City of Pasig"";""Both Sexes"";""80 years old and over"";5002",,,,
"Total Population;""....City of Pasig"";""Male"";""All Ages"";398811",,,,
"Total Population;""....City of Pasig"";""Male"";""Below 5"";41784",,,,
"Total Population;""....City of Pasig"";""Male"";""5-9"";40420",,,,
"Total Population;""....City of Pasig"";""Male"";""10-14"";36889",,,,
"Total Population;""....City of Pasig"";""Male"";""15-19"";33289",,,,
"Total Population;""....City of Pasig"";""Male"";""20-24"";35936",,,,
"Total Population;""....City of Pasig"";""Male"";""25-29"";38111",,,,
"Total Population;""....City of Pasig"";""Male"";""30-34"";36306",,,,
"Total Population;""....City of Pasig"";""Male"";""35-39"";31552",,,,
"Total Population;""....City of Pasig"";""Male"";""40-44"";26894",,,,
"Total Population;""....City of Pasig"";""Male"";""45-49"";21675",,,,
"Total Population;""....City of Pasig"";""Male"";""50-54"";17757",,,,
"Total Population;""....City of Pasig"";""Male"";""55-59"";13618",,,,
"Total Population;""....City of Pasig"";""Male"";""60-64"";10349",,,,
"Total Population;""....City of Pasig"";""Male"";""65-69"";6676",,,,
"Total Population;""....City of Pasig"";""Male"";""70-74"";4246",,,,
"Total Population;""....City of Pasig"";""Male"";""75-79"";1774",,,,
"Total Population;""....City of Pasig"";""Male"";""80 years old and over"";1535",,,,
"Total Population;""....City of Pasig"";""Female"";""All Ages"";404348",,,,
"Total Population;""....City of Pasig"";""Female"";""Below 5"";39384",,,,
"Total Population;""....City of Pasig"";""Female"";""5-9"";37618",,,,
"Total Population;""....City of Pasig"";""Female"";""10-14"";34125",,,,
"Total Population;""....City of Pasig"";""Female"";""15-19"";32413",,,,
"Total Population;""....City of Pasig"";""Female"";""20-24"";36300",,,,
"Total Population;""....City of Pasig"";""Female"";""25-29"";38567",,,,
"Total Population;""....City of Pasig"";""Female"";""30-34"";35495",,,,
"Total Population;""....City of Pasig"";""Female"";""35-39"";30973",,,,
