"Number of Workers Who Received Cash and Non-Cash Productivity-Based Incentives in Establishments Employing 20 or More Workers by Major Industry Group, Philippines: 2015"

"Type of workers";"Major Industry Group";"Cash and Non-Cash Productivity-Based Incentives";"2015"
"Supervisors";"..Accommodation and Food Service Activities";"....P10,000-P14,999";54
"Supervisors";"..Accommodation and Food Service Activities";"....P15,000-P19,999";47
"Supervisors";"..Accommodation and Food Service Activities";"....P20,000 and Over";71
"Supervisors";"..Accommodation and Food Service Activities";"..Number of Workers Who Received Non-Cash Incentives";512
"Supervisors";"..Information and Communication";"Total Number of Workers Who Received Cash and Non-Cash Incentives";868
"Supervisors";"..Information and Communication";"..Number of Workers Who Received Cash Incentives";789
"Supervisors";"..Information and Communication";"....Below P5,000";233
"Supervisors";"..Information and Communication";"....P5,000-P9,999";19
"Supervisors";"..Information and Communication";"....P10,000-P14,999";0
"Supervisors";"..Information and Communication";"....P15,000-P19,999";97
"Supervisors";"..Information and Communication";"....P20,000 and Over";440
"Supervisors";"..Information and Communication";"..Number of Workers Who Received Non-Cash Incentives";79
"Supervisors";"..Financial and Insurance Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";879
"Supervisors";"..Financial and Insurance Activities";"..Number of Workers Who Received Cash Incentives";787
"Supervisors";"..Financial and Insurance Activities";"....Below P5,000";111
"Supervisors";"..Financial and Insurance Activities";"....P5,000-P9,999";53
"Supervisors";"..Financial and Insurance Activities";"....P10,000-P14,999";72
"Supervisors";"..Financial and Insurance Activities";"....P15,000-P19,999";124
"Supervisors";"..Financial and Insurance Activities";"....P20,000 and Over";427
"Supervisors";"..Financial and Insurance Activities";"..Number of Workers Who Received Non-Cash Incentives";93
"Supervisors";"..Real Estate Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";78
"Supervisors";"..Real Estate Activities";"..Number of Workers Who Received Cash Incentives";57
"Supervisors";"..Real Estate Activities";"....Below P5,000";27
"Supervisors";"..Real Estate Activities";"....P5,000-P9,999";0
"Supervisors";"..Real Estate Activities";"....P10,000-P14,999";0
"Supervisors";"..Real Estate Activities";"....P15,000-P19,999";7
"Supervisors";"..Real Estate Activities";"....P20,000 and Over";22
"Supervisors";"..Real Estate Activities";"..Number of Workers Who Received Non-Cash Incentives";22
"Supervisors";"..Professional, Scientific and Technical Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";281
"Supervisors";"..Professional, Scientific and Technical Activities";"..Number of Workers Who Received Cash Incentives";230
"Supervisors";"..Professional, Scientific and Technical Activities";"....Below P5,000";0
"Supervisors";"..Professional, Scientific and Technical Activities";"....P5,000-P9,999";0
"Supervisors";"..Professional, Scientific and Technical Activities";"....P10,000-P14,999";0
"Supervisors";"..Professional, Scientific and Technical Activities";"....P15,000-P19,999";0
"Supervisors";"..Professional, Scientific and Technical Activities";"....P20,000 and Over";230
"Supervisors";"..Professional, Scientific and Technical Activities";"..Number of Workers Who Received Non-Cash Incentives";51
"Supervisors";"..Administrative and Support Service Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";1571
"Supervisors";"..Administrative and Support Service Activities";"..Number of Workers Who Received Cash Incentives";1102
"Supervisors";"..Administrative and Support Service Activities";"....Below P5,000";297
"Supervisors";"..Administrative and Support Service Activities";"....P5,000-P9,999";127
"Supervisors";"..Administrative and Support Service Activities";"....P10,000-P14,999";287
"Supervisors";"..Administrative and Support Service Activities";"....P15,000-P19,999";43
"Supervisors";"..Administrative and Support Service Activities";"....P20,000 and Over";348
"Supervisors";"..Administrative and Support Service Activities";"..Number of Workers Who Received Non-Cash Incentives";469
"Supervisors";"..Education Except Public Education";"Total Number of Workers Who Received Cash and Non-Cash Incentives";435
"Supervisors";"..Education Except Public Education";"..Number of Workers Who Received Cash Incentives";242
"Supervisors";"..Education Except Public Education";"....Below P5,000";60
"Supervisors";"..Education Except Public Education";"....P5,000-P9,999";139
"Supervisors";"..Education Except Public Education";"....P10,000-P14,999";20
"Supervisors";"..Education Except Public Education";"....P15,000-P19,999";23
